T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
408.37308,NaN,165.99436,NaN,145.27484,NaN,NaN,NaN,NaN,NaN,647.32392,NaN,617.20472,NaN,326.97548,NaN,472.02336,NaN
411.37684,NaN,165.99716,NaN,145.28956,NaN,NaN,NaN,NaN,NaN,647.35984,NaN,617.24088,NaN,326.98288,NaN,472.03092,NaN
411.38152,NaN,166.0008,NaN,145.29296,NaN,NaN,NaN,NaN,NaN,647.37512,NaN,617.24692,NaN,326.9862,NaN,472.03408,NaN
411.38424,NaN,166.0036,NaN,145.30592,NaN,NaN,NaN,NaN,NaN,647.38212,NaN,617.25376,NaN,326.99724,NaN,472.04752,NaN
411.3866,NaN,166.00672,NaN,145.31216,NaN,NaN,NaN,NaN,NaN,647.38636,NaN,617.25844,NaN,327.00636,NaN,472.05468,NaN
411.39132,NaN,166.01024,NaN,145.33332,NaN,NaN,NaN,NaN,NaN,647.39908,NaN,617.26432,NaN,327.01064,NaN,472.06568,NaN
411.39444,NaN,166.01348,NaN,146.97388,NaN,NaN,NaN,NaN,NaN,647.41692,NaN,617.27424,NaN,327.01712,NaN,472.07076,NaN
411.39748,NaN,166.0158,NaN,148.1706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.17832,NaN,327.05636,NaN,472.073,NaN
411.4004,NaN,166.02208,NaN,148.21296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.18072,NaN,327.20476,NaN,472.0782,NaN
411.4056,NaN,166.02432,NaN,148.22104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.18692,NaN,327.5638,NaN,472.08112,NaN
411.40816,NaN,166.02692,NaN,148.23048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.19224,NaN,327.5688,NaN,472.09948,NaN
411.41724,NaN,166.02912,NaN,148.23556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.1962,NaN,327.57192,NaN,472.10236,NaN
411.42368,NaN,166.0318,NaN,148.23772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.20308,NaN,327.57524,NaN,472.1214,NaN
411.42772,NaN,166.03536,NaN,148.24052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.20736,NaN,327.57868,NaN,472.127,NaN
411.43728,NaN,166.03812,NaN,148.24596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.22072,NaN,327.5822,NaN,472.13256,NaN
411.44032,NaN,166.04244,NaN,148.2506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.226,NaN,327.59064,NaN,472.145,NaN
411.4468,NaN,166.04632,NaN,148.25296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.2338,NaN,327.59608,NaN,472.16596,NaN
411.45376,NaN,166.04944,NaN,148.25576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.2428,NaN,327.61252,NaN,472.5762,NaN
411.45596,NaN,166.05276,NaN,148.25788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.2472,NaN,327.61608,NaN,474.24996,NaN
411.45832,NaN,166.05624,NaN,148.26116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.25756,NaN,327.61924,NaN,474.26072,NaN
411.4606,NaN,166.06464,NaN,148.2636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.26492,NaN,327.65124,NaN,474.26288,NaN
411.46692,NaN,166.06848,NaN,148.26664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.27592,NaN,327.65896,NaN,474.2666,NaN
411.46932,NaN,166.07536,NaN,148.26952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.3404,NaN,327.673,NaN,474.27,NaN
411.479,NaN,166.0776,NaN,148.27468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.3456,NaN,327.69756,NaN,474.2784,NaN
411.49348,NaN,166.10164,NaN,148.2774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.40196,NaN,327.72156,NaN,474.28552,NaN
411.50248,NaN,166.14188,NaN,148.28068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.84612,NaN,327.73084,NaN,474.28832,NaN
411.5094,NaN,166.27432,NaN,148.28312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,619.87644,NaN,327.7414,NaN,474.29744,NaN
411.52284,NaN,168.57632,NaN,148.28528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.97788,NaN,327.7464,NaN,474.30116,NaN
411.57204,NaN,169.2074,NaN,148.28768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.98224,NaN,327.77616,NaN,474.3104,NaN
411.5774,NaN,169.21252,NaN,148.29032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.98808,NaN,327.80808,NaN,474.31888,NaN
411.5798,NaN,169.21528,NaN,148.29296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.9904,NaN,327.8222,NaN,474.32208,NaN
411.5872,NaN,169.218,NaN,148.29568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.99312,NaN,328.46056,NaN,474.33648,NaN
411.59016,NaN,169.22112,NaN,148.29888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,620.99744,NaN,328.46776,NaN,474.34688,NaN
411.59228,NaN,169.224,NaN,148.30112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.0034,NaN,328.47092,NaN,474.34904,NaN
411.5978,NaN,169.227,NaN,148.30328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.00828,NaN,328.47348,NaN,474.35124,NaN
411.61696,NaN,169.22912,NaN,148.30584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.0216,NaN,328.47684,NaN,474.35764,NaN
411.69212,NaN,169.23168,NaN,148.3082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.04392,NaN,328.483,NaN,474.36432,NaN
411.6966,NaN,169.2342,NaN,148.31048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.06088,NaN,328.48864,NaN,474.37132,NaN
411.70148,NaN,169.2376,NaN,148.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.06488,NaN,328.49856,NaN,474.37656,NaN
411.70384,NaN,169.24072,NaN,148.31716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.07364,NaN,328.50568,NaN,474.40768,NaN
411.71008,NaN,169.24336,NaN,148.32152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.07892,NaN,328.50908,NaN,474.44724,NaN
411.71964,NaN,169.24568,NaN,148.32452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.15892,NaN,328.51496,NaN,474.45088,NaN
411.72204,NaN,169.24812,NaN,148.32824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.191,NaN,328.55988,NaN,474.46372,NaN
411.7258,NaN,169.25052,NaN,148.33112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.19512,NaN,328.6016,NaN,474.47792,NaN
411.87076,NaN,169.25368,NaN,148.33364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621.20856,NaN,328.60584,NaN,474.48664,NaN
411.87924,NaN,169.2558,NaN,148.33688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.6914,NaN,328.609,NaN,474.49536,NaN
411.88192,NaN,169.25836,NaN,148.34204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.71908,NaN,328.6264,NaN,474.503,NaN
411.88624,NaN,169.26272,NaN,148.34444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.72476,NaN,328.63196,NaN,474.51276,NaN
411.88908,NaN,169.26704,NaN,148.34916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.74568,NaN,328.65028,NaN,475.4158,NaN
411.8954,NaN,169.26928,NaN,148.35184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.76952,NaN,328.66648,NaN,475.91428,NaN
411.8978,NaN,169.27352,NaN,148.35476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.77476,NaN,328.677,NaN,476.85008,NaN
411.90364,NaN,169.27688,NaN,148.35684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.78328,NaN,329.269,NaN,476.85536,NaN
411.90708,NaN,169.27912,NaN,148.3594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.79256,NaN,329.27376,NaN,476.85772,NaN
411.90996,NaN,169.28228,NaN,148.36192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.84156,NaN,329.2854,NaN,476.86396,NaN
411.91548,NaN,169.28484,NaN,148.36572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.8742,NaN,329.28788,NaN,476.87064,NaN
412.5412,NaN,169.28968,NaN,148.36792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.8872,NaN,329.29284,NaN,476.87404,NaN
413.17036,NaN,169.29288,NaN,148.3714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.91844,NaN,329.29504,NaN,476.88236,NaN
413.17268,NaN,169.29504,NaN,148.37356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,623.49232,NaN,329.3018,NaN,476.88476,NaN
413.1786,NaN,169.29724,NaN,148.37656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.3564,NaN,329.31432,NaN,476.89648,NaN
413.18228,NaN,169.30044,NaN,148.37892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.37564,NaN,329.32752,NaN,476.90532,NaN
413.18444,NaN,169.30408,NaN,148.38124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.37872,NaN,329.33036,NaN,476.91664,NaN
413.18708,NaN,169.30736,NaN,148.3838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.384,NaN,329.3498,NaN,476.91872,NaN
413.19048,NaN,169.30952,NaN,148.38712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.3862,NaN,329.7236,NaN,476.92104,NaN
413.1936,NaN,169.31168,NaN,148.38968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.40048,NaN,330.12932,NaN,476.93272,NaN
413.19672,NaN,169.31424,NaN,148.39276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.41616,NaN,330.13632,NaN,476.94368,NaN
413.20028,NaN,169.31732,NaN,148.39488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.43972,NaN,330.13936,NaN,476.94924,NaN
413.20436,NaN,169.32016,NaN,148.39796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.44952,NaN,330.15096,NaN,476.977,NaN
413.21364,NaN,169.32344,NaN,148.40032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.45384,NaN,330.15364,NaN,476.9958,NaN
413.22444,NaN,169.32608,NaN,148.40468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.47304,NaN,330.16152,NaN,476.9994,NaN
413.23,NaN,169.32928,NaN,148.40728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.47516,NaN,330.16688,NaN,477.00304,NaN
413.2392,NaN,169.33152,NaN,148.41068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.48036,NaN,330.17088,NaN,477.0616,NaN
413.24148,NaN,169.33364,NaN,148.41564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.48748,NaN,330.17716,NaN,477.06468,NaN
413.24768,NaN,169.33908,NaN,148.41792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624.49012,NaN,330.17956,NaN,477.07556,NaN
413.2508,NaN,169.34256,NaN,148.42084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.93428,NaN,330.18712,NaN,477.09204,NaN
413.25488,NaN,169.34488,NaN,148.42468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.93888,NaN,330.20692,NaN,477.0942,NaN
413.26188,NaN,169.34724,NaN,148.42992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.94816,NaN,330.22012,NaN,477.2268,NaN
413.26492,NaN,169.35168,NaN,148.43228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.95044,NaN,330.24624,NaN,479.32904,NaN
413.27096,NaN,169.35736,NaN,148.4392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.95328,NaN,330.25404,NaN,479.33704,NaN
413.2826,NaN,169.36004,NaN,148.44164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.95752,NaN,330.25884,NaN,479.33936,NaN
413.301,NaN,169.36328,NaN,148.44464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.96376,NaN,330.26176,NaN,479.34292,NaN
413.31144,NaN,169.36728,NaN,148.44712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.96984,NaN,330.26984,NaN,479.34532,NaN
413.31904,NaN,169.36972,NaN,148.45112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625.98236,NaN,330.357,NaN,479.35012,NaN
413.322,NaN,169.37256,NaN,148.45344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.03104,NaN,331.30672,NaN,479.35236,NaN
413.4126,NaN,169.37572,NaN,148.45648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.03696,NaN,331.31224,NaN,479.35628,NaN
413.41692,NaN,169.37868,NaN,148.46028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.04708,NaN,331.31524,NaN,479.35884,NaN
413.42348,NaN,169.38092,NaN,148.46268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.05148,NaN,331.31748,NaN,479.36224,NaN
413.42668,NaN,169.38432,NaN,148.46628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.05648,NaN,331.32332,NaN,479.3658,NaN
413.4314,NaN,169.38936,NaN,148.47156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.07288,NaN,331.32804,NaN,479.37612,NaN
413.445,NaN,169.39164,NaN,148.47716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.18836,NaN,331.3304,NaN,479.37956,NaN
413.55608,NaN,169.39392,NaN,148.47956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.19092,NaN,331.3342,NaN,479.39364,NaN
413.55904,NaN,169.39664,NaN,148.48716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.1964,NaN,331.34372,NaN,479.39992,NaN
413.5704,NaN,169.39992,NaN,148.49324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.19924,NaN,331.35104,NaN,479.40568,NaN
413.57992,NaN,169.403,NaN,148.49592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.20596,NaN,331.36024,NaN,479.41336,NaN
413.58476,NaN,169.4062,NaN,148.50164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,626.21188,NaN,331.3782,NaN,479.41904,NaN
413.591,NaN,169.40896,NaN,148.50984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.09316,NaN,331.39116,NaN,479.42492,NaN
413.59608,NaN,169.41204,NaN,148.52136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.09584,NaN,331.39392,NaN,479.43716,NaN
413.6018,NaN,169.41448,NaN,148.52612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.1152,NaN,331.40592,NaN,479.43952,NaN
413.61244,NaN,169.41724,NaN,148.52988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.15608,NaN,331.4084,NaN,479.44272,NaN
413.76092,NaN,169.42008,NaN,151.7468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.17168,NaN,331.4142,NaN,479.48416,NaN
413.7682,NaN,169.42248,NaN,151.7524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.18604,NaN,331.41692,NaN,479.48996,NaN
413.77256,NaN,169.42528,NaN,151.75516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.19684,NaN,331.42572,NaN,479.4922,NaN
413.7752,NaN,169.42776,NaN,151.76004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.19956,NaN,331.42828,NaN,479.50184,NaN
413.78056,NaN,169.43136,NaN,151.76256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.21608,NaN,331.43988,NaN,479.518,NaN
413.78392,NaN,169.43672,NaN,151.76532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.23124,NaN,332.20336,NaN,479.52304,NaN
413.78968,NaN,169.43916,NaN,151.76884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628.3104,NaN,332.20564,NaN,479.5272,NaN
413.80272,NaN,169.44172,NaN,151.77268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.7732,NaN,332.21364,NaN,479.53168,NaN
413.89728,NaN,169.44484,NaN,151.77492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.79028,NaN,332.21692,NaN,479.53544,NaN
414.37472,NaN,169.44828,NaN,151.77932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.79464,NaN,332.2204,NaN,479.55044,NaN
414.37736,NaN,169.45144,NaN,151.78156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.79812,NaN,332.22448,NaN,479.55264,NaN
414.38048,NaN,169.45472,NaN,151.7842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.81928,NaN,332.23772,NaN,479.56372,NaN
414.38528,NaN,169.457,NaN,151.78696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.82276,NaN,332.24124,NaN,479.70124,NaN
414.3878,NaN,169.45944,NaN,151.78968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.82492,NaN,332.25312,NaN,479.71072,NaN
414.39184,NaN,169.46276,NaN,151.79188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.84572,NaN,332.28184,NaN,479.72912,NaN
414.39684,NaN,169.46732,NaN,151.79424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.86376,NaN,332.29912,NaN,479.74432,NaN
414.40056,NaN,169.46952,NaN,151.79652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.87012,NaN,332.31024,NaN,479.75684,NaN
414.403,NaN,169.47248,NaN,151.79908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.8854,NaN,332.33088,NaN,481.89996,NaN
414.40576,NaN,169.4894,NaN,151.80308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.9262,NaN,332.334,NaN,481.9128,NaN
414.4512,NaN,169.49748,NaN,151.80588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.341,NaN,332.3372,NaN,481.91596,NaN
414.4644,NaN,169.50856,NaN,151.80848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.34892,NaN,332.35064,NaN,481.92744,NaN
414.47244,NaN,169.51064,NaN,151.81284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.35484,NaN,332.35732,NaN,481.9348,NaN
414.47976,NaN,169.5128,NaN,151.81496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.3594,NaN,332.46088,NaN,481.94512,NaN
414.48452,NaN,169.51688,NaN,151.81788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.36716,NaN,332.96664,NaN,481.94832,NaN
414.4926,NaN,169.51936,NaN,151.81996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.3882,NaN,332.969,NaN,481.9614,NaN
414.58444,NaN,169.52228,NaN,151.8224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.3988,NaN,332.97368,NaN,481.96528,NaN
414.5884,NaN,169.5258,NaN,151.8246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.40524,NaN,332.9824,NaN,481.97768,NaN
414.59572,NaN,169.52808,NaN,151.82708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.4168,NaN,332.98472,NaN,481.98448,NaN
414.60392,NaN,169.53036,NaN,151.8292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.45256,NaN,332.98728,NaN,481.99308,NaN
414.60752,NaN,169.53252,NaN,151.83168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.4724,NaN,332.9912,NaN,481.99624,NaN
414.61252,NaN,169.53472,NaN,151.83388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.50388,NaN,333.0042,NaN,482.00468,NaN
414.61696,NaN,169.5386,NaN,151.83632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.5172,NaN,333.00644,NaN,482.01064,NaN
414.61952,NaN,169.54092,NaN,151.83892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,631.58684,NaN,333.01724,NaN,482.0174,NaN
414.63296,NaN,169.545,NaN,151.84216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.41652,NaN,333.04268,NaN,482.05632,NaN
414.73348,NaN,169.54792,NaN,151.84492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.8684,NaN,333.05544,NaN,482.07436,NaN
414.78392,NaN,169.55048,NaN,151.84788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.87592,NaN,333.09632,NaN,482.07892,NaN
414.79076,NaN,169.55464,NaN,151.85052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.88032,NaN,333.11164,NaN,482.08128,NaN
414.79368,NaN,169.55804,NaN,151.85264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.88804,NaN,333.1254,NaN,482.11528,NaN
414.79852,NaN,169.56056,NaN,151.85508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.89056,NaN,333.1574,NaN,482.11868,NaN
414.80416,NaN,169.56284,NaN,151.85836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.89484,NaN,333.1816,NaN,482.21252,NaN
414.80932,NaN,169.56728,NaN,151.86048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.90272,NaN,333.18624,NaN,482.22056,NaN
414.9584,NaN,169.57324,NaN,151.86288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.91556,NaN,333.79812,NaN,482.23272,NaN
414.96092,NaN,169.57788,NaN,151.86596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.94448,NaN,333.80536,NaN,482.24548,NaN
414.96472,NaN,169.58292,NaN,151.86896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.95172,NaN,333.80772,NaN,484.36064,NaN
414.97068,NaN,169.58684,NaN,151.87112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.96056,NaN,333.8134,NaN,484.38664,NaN
414.97476,NaN,169.60232,NaN,151.87412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.9634,NaN,333.81768,NaN,484.39168,NaN
414.98004,NaN,169.62528,NaN,151.87692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.97312,NaN,333.82084,NaN,484.3948,NaN
415.18556,NaN,169.63016,NaN,151.88008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.9772,NaN,333.82836,NaN,484.39712,NaN
415.19256,NaN,169.63304,NaN,151.88332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.98436,NaN,333.83652,NaN,484.40068,NaN
415.19636,NaN,169.63576,NaN,151.88704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,633.02156,NaN,333.84204,NaN,484.40504,NaN
415.20004,NaN,169.63824,NaN,151.89036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,633.12264,NaN,333.8608,NaN,484.408,NaN
415.20256,NaN,169.64048,NaN,151.89316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.36644,NaN,333.8636,NaN,484.4122,NaN
415.20704,NaN,169.64592,NaN,151.89624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.3846,NaN,333.87696,NaN,484.41776,NaN
415.21056,NaN,169.652,NaN,151.89972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.39564,NaN,333.88064,NaN,484.42004,NaN
415.21428,NaN,169.65456,NaN,151.90188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.4,NaN,333.99392,NaN,484.43204,NaN
415.22816,NaN,169.65696,NaN,151.90644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.43464,NaN,333.99732,NaN,484.44224,NaN
415.36932,NaN,169.65948,NaN,151.91036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.438,NaN,334.01688,NaN,484.4466,NaN
415.37224,NaN,169.66172,NaN,151.91312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.44384,NaN,334.026,NaN,484.45708,NaN
415.37728,NaN,169.66524,NaN,151.91636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.45472,NaN,334.03888,NaN,484.46464,NaN
415.38692,NaN,169.67016,NaN,151.9186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.46096,NaN,334.06204,NaN,484.46812,NaN
415.3968,NaN,169.67316,NaN,151.92096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.46328,NaN,334.76172,NaN,484.4856,NaN
415.41284,NaN,169.6756,NaN,151.92484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.48448,NaN,334.7668,NaN,484.49108,NaN
415.9414,NaN,169.67836,NaN,151.92752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.4904,NaN,334.77164,NaN,484.49868,NaN
415.94612,NaN,169.6822,NaN,151.93124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.49408,NaN,334.775,NaN,484.50876,NaN
415.94932,NaN,169.6862,NaN,151.9338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,634.49852,NaN,334.77908,NaN,484.51132,NaN
415.95228,NaN,169.68848,NaN,151.93664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.79496,NaN,334.78128,NaN,484.53344,NaN
415.95572,NaN,169.69124,NaN,151.94008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.80084,NaN,334.78612,NaN,484.53984,NaN
415.9596,NaN,169.69448,NaN,151.94236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.80428,NaN,334.79272,NaN,484.57284,NaN
415.96588,NaN,169.69732,NaN,151.94684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.8124,NaN,334.80656,NaN,484.61776,NaN
415.97056,NaN,169.69972,NaN,151.9494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.81476,NaN,334.81232,NaN,484.6488,NaN
415.97264,NaN,169.70464,NaN,151.9522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.82272,NaN,334.903,NaN,486.87032,NaN
415.97548,NaN,169.71216,NaN,151.9564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.82912,NaN,334.94284,NaN,486.8776,NaN
415.97792,NaN,170.189,NaN,151.9594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.83148,NaN,334.95196,NaN,486.88392,NaN
415.98492,NaN,172.19124,NaN,151.96416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.83432,NaN,334.95472,NaN,486.88936,NaN
416.0246,NaN,172.26196,NaN,151.97056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.83956,NaN,334.9676,NaN,486.89736,NaN
416.02948,NaN,173.01688,NaN,151.97292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.87324,NaN,334.979,NaN,486.90364,NaN
416.03248,NaN,173.02204,NaN,151.97896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.88308,NaN,334.98708,NaN,486.90648,NaN
416.03464,NaN,173.02572,NaN,151.99588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.89764,NaN,335.01112,NaN,486.90916,NaN
416.03888,NaN,173.02784,NaN,151.99944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635.90688,NaN,335.03556,NaN,486.92248,NaN
