T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
12.59308,NaN,2.49832,NaN,2.49396,NaN,21.9006,NaN,22.65528,NaN,19.40816,NaN,16.22648,NaN,12.63216,NaN,12.66824,NaN
12.59524,NaN,2.50092,NaN,2.4978,NaN,22.66892,NaN,22.6856,NaN,19.41044,NaN,16.24452,NaN,12.63704,NaN,12.68376,NaN
12.60068,NaN,2.5036,NaN,2.50116,NaN,22.67828,NaN,22.69004,NaN,19.4316,NaN,19.30436,NaN,12.63916,NaN,12.68864,NaN
12.60392,NaN,2.50652,NaN,2.50508,NaN,22.6986,NaN,22.70896,NaN,21.85428,NaN,19.3336,NaN,12.64832,NaN,12.71868,NaN
12.60788,NaN,2.51044,NaN,2.50724,NaN,22.70124,NaN,22.71352,NaN,22.65732,NaN,19.33744,NaN,12.65236,NaN,12.74568,NaN
12.61352,NaN,2.5128,NaN,2.51004,NaN,22.99592,NaN,22.7354,NaN,22.68588,NaN,19.3454,NaN,12.65488,NaN,12.90168,NaN
12.61768,NaN,2.51536,NaN,2.516,NaN,25.9748,NaN,22.73772,NaN,22.69792,NaN,19.35832,NaN,12.65856,NaN,13.0582,NaN
12.6206,NaN,2.51888,NaN,2.51892,NaN,25.98112,NaN,22.76284,NaN,22.7058,NaN,19.3626,NaN,12.66396,NaN,15.82592,NaN
12.6234,NaN,2.52116,NaN,2.52112,NaN,25.99,NaN,22.78396,NaN,22.7096,NaN,19.37056,NaN,12.6666,NaN,16.13676,NaN
12.6262,NaN,2.52432,NaN,2.5252,NaN,25.99484,NaN,25.758,NaN,22.72272,NaN,19.3776,NaN,12.66876,NaN,16.16736,NaN
12.62848,NaN,2.52876,NaN,2.52784,NaN,26.01096,NaN,25.9874,NaN,22.72944,NaN,19.40288,NaN,12.67212,NaN,16.17764,NaN
12.63196,NaN,2.54252,NaN,2.53096,NaN,26.0132,NaN,25.98984,NaN,25.95108,NaN,22.67216,NaN,12.67664,NaN,16.17992,NaN
12.63684,NaN,2.54596,NaN,2.53772,NaN,26.01528,NaN,26.0008,NaN,25.98048,NaN,22.67852,NaN,12.68052,NaN,16.18956,NaN
12.64412,NaN,2.55036,NaN,2.5406,NaN,26.04172,NaN,26.00432,NaN,26.00428,NaN,22.68328,NaN,12.69068,NaN,16.19436,NaN
12.64672,NaN,2.5582,NaN,2.54416,NaN,26.08168,NaN,26.0074,NaN,26.0072,NaN,22.68556,NaN,12.69588,NaN,16.19804,NaN
12.64896,NaN,2.5864,NaN,2.54724,NaN,28.99724,NaN,26.01184,NaN,26.02096,NaN,22.71956,NaN,12.70232,NaN,16.20972,NaN
12.65192,NaN,2.70132,NaN,2.55092,NaN,29.03624,NaN,26.0232,NaN,26.02324,NaN,22.73032,NaN,12.71548,NaN,16.213,NaN
12.65404,NaN,4.27132,NaN,2.55452,NaN,29.0438,NaN,26.02588,NaN,26.02564,NaN,22.78744,NaN,12.71772,NaN,16.2156,NaN
12.6628,NaN,5.43912,NaN,2.55688,NaN,29.05508,NaN,26.03216,NaN,26.03124,NaN,24.18564,NaN,12.73104,NaN,16.23068,NaN
12.66604,NaN,5.75168,NaN,2.55992,NaN,29.0584,NaN,26.043,NaN,26.04084,NaN,25.98844,NaN,12.73672,NaN,16.23852,NaN
12.66828,NaN,5.7596,NaN,2.5656,NaN,29.07784,NaN,26.04608,NaN,26.0758,NaN,25.99608,NaN,14.88428,NaN,16.24216,NaN
